index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
1,bavdhan,1.0,492.0,39.0,shapoorji paloonji,vanaha ,yes,yes,yes,yes,yes,yes,yes
2,bavdhan,2.0,774.0,65.0,shapoorji paloonji,vanaha ,yes,yes,yes,yes,yes,yes,yes
3,bavdhan,3.0,889.0,74.0,shapoorji paloonji,vanaha ,yes,yes,yes,yes,yes,yes,yes
4,bavdhan,3.0,1018.0,89.0,shapoorji paloonji,vanaha ,yes,yes,yes,yes,yes,yes,yes
5,mahalunge,2.0,743.0,74.0,godrej properties,godrej hills retreat,yes,yes,yes,yes,yes,yes,yes
6,mahalunge,3.0,975.0,95.0,godrej properties,godrej hills retreat,yes,yes,yes,yes,yes,yes,yes
7,balewadi,2.0,894.5,75.0,anp corp,anp universe,yes,no,no,no,yes,yes,yes
8,balewadi,3.0,1174.5,100.0,anp corp,anp universe,yes,no,no,no,yes,yes,yes
9,ravet,2.0,905.0,65.0,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
10,ravet,3.0,1125.0,88.0,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
11,ravet,4.0,1644.0,135.0,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
14,baner,2.0,753.5,58.0,vtp reality,vtp cierra,yes,no,no,no,yes,yes,yes
15,baner,3.0,1051.0,95.0,vtp reality,vtp cierra,yes,no,no,no,yes,yes,yes
16,mahalunge,1.0,423.0,40.0,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
17,mahalunge,2.0,665.0,58.0,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
18,mahalunge,3.0,878.5,78.0,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
19,ravet,1.0,462.0,36.0,waghvani constructions,om mangalam chaitanya,yes,no,no,no,yes,yes,yes
20,ravet,2.0,666.0,48.0,waghvani constructions,om mangalam chaitanya,yes,no,no,no,yes,yes,yes
21,ravet,2.0,750.0,57.0,sukwani associates,sukwani aspire,yes,no,no,no,yes,yes,yes
22,ravet,3.0,1030.0,79.0,sukwani associates,sukwani aspire,yes,no,no,no,yes,yes,yes
23,kharadi,1.0,446.0,37.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
24,kharadi,2.0,796.0,57.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
25,kharadi,2.0,842.0,59.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
26,kharadi,2.0,865.0,61.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
27,kharadi,2.0,902.0,63.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
28,kharadi,2.0,1154.0,79.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
29,kharadi,3.0,872.0,61.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
30,kharadi,3.0,934.0,65.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
31,kharadi,3.0,1088.0,73.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
32,kharadi,3.0,1109.0,76.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
33,kharadi,3.0,1163.0,80.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
34,kharadi,3.0,1419.0,96.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
35,kharadi,3.0,1485.0,100.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
36,balewadi,2.0,684.0,70.0,mantra properties,mantra monarch,yes,no,no,no,yes,yes,yes
37,balewadi,3.0,990.0,90.0,mantra properties,mantra monarch,yes,no,no,no,yes,yes,yes
38,koregaon park,2.0,882.0,97.0,mantra properties,infinity,yes,no,no,no,yes,yes,yes
39,koregaon park,3.0,1103.0,120.0,mantra properties,infinity,yes,no,no,no,yes,yes,yes
40,keshav nagar,1.0,543.0,42.0,mantra properties,mantra insignia,yes,no,no,no,yes,yes,yes
41,keshav nagar,2.0,963.0,57.0,mantra properties,mantra insignia,yes,no,no,no,yes,yes,yes
43,kirkatwadi sinhagad road,1.0,320.0,14.0,mantra properties,7hills,yes,no,no,no,yes,yes,yes
44,kirkatwadi sinhagad road,2.0,473.0,22.0,mantra properties,7hills,yes,no,no,no,yes,yes,yes
45,kirkatwadi sinhagad road,3.0,581.0,26.0,mantra properties,7hills,yes,no,no,no,yes,yes,yes
46,akurdi,2.0,790.0,80.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
47,akurdi,2.0,820.0,83.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
48,akurdi,3.0,989.0,101.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
